id,inmate_id,location_id,date
682,2012-1016168,32,2013-01-23
683,2012-1102218,58,2013-01-03
684,2012-1205210,37,2013-01-17
685,2012-1116075,193,2013-01-03
686,2012-1205191,59,2012-12-21
687,2012-1112069,25,2012-12-17
688,2012-0924128,68,2012-12-17
689,2012-1205034,82,2012-12-28
690,2012-0904096,194,2013-01-02
691,2012-0929232,115,2013-01-08
692,2012-1207039,51,2013-01-02
693,2012-1210011,53,2012-12-18
694,2012-0803203,73,2013-01-17
695,2010-0428090,102,2013-01-03
696,2012-0929201,60,2012-12-28
697,2012-0206002,159,2013-01-08
698,2012-1026178,56,2012-12-18
699,2012-0824130,45,2013-01-03
700,2012-1205097,57,2012-12-24
701,2012-0829241,87,2013-01-09
702,2011-0727139,99,2013-01-15
703,2012-1027002,195,2013-01-28
704,2012-1103205,55,2012-12-14
705,2011-1102197,87,2013-01-23
706,2012-1207019,196,2012-12-13
707,2012-0629109,140,2012-12-28
708,2012-1124060,54,2013-01-02
709,2012-0902182,115,2012-12-28
710,2012-1204121,108,2012-12-21
711,2012-1212080,26,2012-12-17
712,2012-0604103,20,2013-01-03
713,2012-0821093,91,2012-12-21
714,2010-0929065,47,2012-12-20
715,2012-0906171,39,2012-12-17
716,2012-1206014,197,2012-12-17
717,2012-0504211,2,2012-12-18
718,2012-0527141,83,2012-12-26
719,2012-0311051,102,2013-01-02
720,2012-1001073,31,2013-01-07
721,2012-1021126,80,2012-12-13
722,2012-1004038,99,2013-01-30
723,2012-0808048,47,2012-12-20
724,2012-0706066,31,2013-01-07
725,2012-1124067,73,2012-12-14
726,2012-1028124,32,2013-01-17
727,2012-0808188,199,2013-01-22
728,2012-1016163,5,2013-01-30
729,2011-0419141,98,2013-01-07
730,2012-1011054,102,2012-12-18
731,2012-0922166,72,2012-12-21
732,2012-0912082,91,2013-01-10
733,2012-1015197,127,2012-12-17
734,2012-1206137,10,2012-12-13
735,2012-0922120,47,2013-01-10
736,2012-0621158,100,2012-12-21
737,2012-1003174,2,2013-01-10
738,2012-1117150,73,2012-12-14
739,2011-0606134,34,2012-12-14
740,2010-0808152,102,2013-01-10
741,2012-1013157,12,2012-12-19
742,2012-0416167,28,2012-12-18
743,2012-1117104,82,2012-12-14
744,2011-0605112,102,2012-12-28
745,2012-0825191,71,2012-12-27
746,2012-0711142,99,2013-01-17
747,2012-0830220,52,2012-12-19
748,2012-1110058,25,2012-12-21
749,2011-0901023,200,2013-01-10
750,2012-0629064,112,2012-12-18
751,2012-0810094,3,2013-01-08
752,2012-0506160,39,2013-01-16
753,2011-1209105,6,2013-01-17
754,2012-1012166,5,2012-12-19
755,2012-0413112,83,2013-01-16
756,2012-0310170,3,2013-01-28
757,2012-0829157,55,2013-01-23
758,2011-1222070,38,2012-12-18
759,2012-0704092,83,2012-12-20
760,2010-1206106,39,2013-01-08
761,2012-0112143,27,2013-01-17
762,2012-0613094,34,2012-12-17
763,2012-0713256,47,2013-01-09
764,2012-0326166,29,2013-01-28
765,2012-1125069,69,2012-12-13
766,2010-1007243,32,2013-01-10
767,2012-0618078,68,2013-01-22
768,2012-0726054,72,2013-01-07
769,2012-1031056,68,2015-11-27
770,2012-0913253,35,2012-12-19
771,2012-1103195,25,2013-01-10
772,2012-1118153,82,2013-01-03
773,2012-0915070,15,2012-12-13
